visit_id,query,item_id,item_name,search_index,view_time,hold_id
118474,sleeping pad,4933,Sleeping pad,2,2024-10-15 03:03:16 UTC,45011
93090,mat cutter,33,Mat cutter,1,2024-09-06 22:39:47 UTC,
90181,work light,4128,Folding portable workbench,15,2024-08-30 15:52:46 UTC,
108726,sleeping bag,4490,Sleeping bag,4,2024-09-23 15:04:20 UTC,44047
83509,tent,5189,Pop-up tent,18,2024-08-20 19:52:17 UTC,
90880,hole saw,3692,Hole saw - 6 inches,6,2024-09-01 08:34:35 UTC,42983
79860,file,782,Files and rasps,1,2024-08-12 22:05:17 UTC,
81057,post,1353,Post hole digger,5,2024-08-14 14:28:21 UTC,
101855,microphone ,133,USB microphone,3,2024-09-11 15:06:42 UTC,
125078,pressure washer,1341,Power washer,6,2024-11-06 20:00:13 UTC,45811
118267,saw,3393,Reciprocating saw,11,2024-10-14 09:56:59 UTC,
125606,tablet,5138,Product photo shooting kit,12,2024-11-08 17:21:50 UTC,
92525,paper,3993,Button maker and circle cutter kit,23,2024-09-05 16:33:54 UTC,
123185,crimp,4582,Compression crimper,5,2024-10-29 20:19:21 UTC,
123528,tile cutter,1257,Tile cutter,7,2024-10-31 02:40:57 UTC,
103549,bar clamp,3248,Bar clamp - 60 inches,88,2024-09-14 20:25:03 UTC,43635
80020,backdrop,2332,Photo Backdrop - Green,1,2024-08-13 13:42:35 UTC,
75749,photo ,2805,Digital camera with zoom lens,8,2024-08-03 22:25:01 UTC,
90786,tent,5225,4 person tent,1,2024-08-31 22:55:38 UTC,42971
113165,aerator ,4815,Electric rototiller,12,2024-09-29 16:27:10 UTC,
125717,circular saw,409,Circular saw,6,2024-11-08 23:20:35 UTC,
125814,table saw,5217,Portable table saw,2,2024-11-09 14:35:19 UTC,45990
100385,dolly,4136,Folding hand cart,12,2024-09-09 04:44:45 UTC,
82482,saw,1567,Keyhole saw,54,2024-08-18 01:38:33 UTC,
73845,dril,645,Corded drill,54,2024-08-02 00:14:15 UTC,
115332,loom,3525,Darning loom,1,2024-10-07 02:07:33 UTC,
108571,coffee,498,Coffee airpot,1,2024-09-23 00:07:07 UTC,
89019,headlamps,5089,Headlamp,5,2024-08-27 19:07:46 UTC,42724
77949,angle grinder,1024,Cordless angle grinder,2,2024-08-08 14:39:14 UTC,
125086,trim router,4612,Compact router,13,2024-11-06 20:46:23 UTC,45814
81901,screwdriver,834,Torx screwdrivers,1,2024-08-16 16:31:27 UTC,
106845,lawn mower,4457,Electric lawn mower,13,2024-09-20 21:52:56 UTC,43975
116355,nailer,4415,Pneumatic nail gun (requires air compressor),13,2024-10-10 17:12:33 UTC,
90584,angle grinder,3717,Angle grinder,1,2024-08-31 16:37:32 UTC,
77994,chain saw,1400,Jawsaw,2,2024-08-08 16:37:36 UTC,
92786,kreg jig,5048,Pocket-hole jig,1,2024-09-06 12:26:40 UTC,43138
90786,sleeping bag,5228,Sleeping bag,1,2024-08-31 22:56:52 UTC,
123522,chainsaw,3926,Electric pole saw,3,2024-10-31 01:42:20 UTC,
79163,saw,4444,Band saw,3,2024-08-10 23:05:24 UTC,
87700,aerator,2499,Garden and lawn aerator,4,2024-08-26 17:13:18 UTC,
123848,sewing machine,3525,Darning loom,2,2024-11-01 14:19:57 UTC,45594
87645,foam,4278,Foam cutter,1,2024-08-26 15:29:52 UTC,
82770,tent,3370,Camping tent,9,2024-08-19 01:35:24 UTC,
118320,tent,3953,Camping tent,2,2024-10-14 15:15:40 UTC,44978
123002,vacuum,2435,Carpet and upholstery cleaner,16,2024-10-29 02:13:56 UTC,45489
103044,wood cutter,3321,Router kit,41,2024-09-14 02:46:08 UTC,
75299,bolt cutter,4245,Bolt cutter,3,2024-08-02 22:54:00 UTC,41462
75630,cleaner,3835,Carpet and upholstery cleaner,3,2024-08-03 17:36:59 UTC,
105897,tent,4681,Camping tent,7,2024-09-18 16:42:47 UTC,
83207,sewing machine,1419,Serger (3/4 Thread Serger with Differential Feed),15,2024-08-19 19:07:26 UTC,
126613,table saw,4124,Portable table saw,8,2024-11-12 17:35:42 UTC,
127172,drill,5212,Cordless drill,1,2024-11-14 07:59:05 UTC,46378
77003,electric lawn mower ,4457,Electric lawn mower,6,2024-08-06 17:48:50 UTC,
81251,camera,437,Digital camera with zoom lens (manual focus only),2,2024-08-14 22:05:00 UTC,
114816,paint pole,4182,Extension pole,8,2024-10-05 13:12:11 UTC,44575
126739,moving,3944,Furniture moving system,2,2024-11-13 02:02:33 UTC,
102558,clamps,3845,Face frame cabinetry clamp set,149,2024-09-12 21:18:15 UTC,
73629,lawn mower,5025,Electric lawn mower,9,2024-08-01 17:00:42 UTC,41371
79811,ramp,4560,Folding accessibility ramp,5,2024-08-12 18:58:39 UTC,41937
113949,embroidery ,5099,Sewing and quilting machine,3,2024-10-02 13:53:05 UTC,
126750,flir,2660,Thermal camera for iOS (Lightning Port),1,2024-11-13 02:07:00 UTC,
118933,miter saw,784,Sliding compound miter saw,3,2024-10-16 19:38:29 UTC,
75188,router,1398,Compact router,8,2024-08-02 18:04:59 UTC,
121038,dremel drill ,90,Dremel drill press,1,2024-10-22 17:34:51 UTC,
123452,sander,3837,Orbital sander,16,2024-10-30 20:07:44 UTC,
126693,tile saw,228,Tile saw,16,2024-11-12 22:30:58 UTC,46203
82381,table saw,3747,Benchtop table saw,2,2024-08-17 19:48:42 UTC,
93637,edger,4423,String trimmer and edger,8,2024-09-07 18:00:13 UTC,
77409,tile,4050,Notched trowel,40,2024-08-07 14:09:33 UTC,41673
80232,camping,3953,Camping tent,7,2024-08-13 22:49:51 UTC,
77826,photography ,2577,Photo studio shooting tent,13,2024-08-08 03:58:13 UTC,
93063,table saw,5216,Portable table saw,6,2024-09-06 21:40:35 UTC,
112129,sawzall,325,Reciprocating saw,4,2024-09-26 20:50:48 UTC,
115781,camera,2805,Digital camera with zoom lens,12,2024-10-09 04:54:07 UTC,
85017,washer,5215,Oscillating multi-tool,22,2024-08-24 15:18:12 UTC,
102763,leather awl,3389,Leather working kit,1,2024-09-13 15:08:03 UTC,43499
121933,table,4894,Benchtop table saw,4,2024-10-24 22:26:14 UTC,
115103,upholstery cleaner,4862,Carpet and upholstery cleaner,13,2024-10-06 00:27:06 UTC,
112751,folding tables,2472,Folding table,7,2024-09-28 14:27:31 UTC,
118319,circular saw,4755,Edge guide,42,2024-10-14 15:18:48 UTC,
122668,flashlight,4774,Flashlight,9,2024-10-27 19:14:44 UTC,
126612,moving harness,718,Furniture moving system,2,2024-11-12 17:31:22 UTC,
83906,rug cleaner,2876,Carpet and upholstery cleaner,4,2024-08-21 20:44:36 UTC,
87821,solder,3309,Soldering iron,8,2024-08-26 21:06:53 UTC,
115530,chain saw,4763,Electric chain saw sharpener,2,2024-10-07 23:42:01 UTC,
123726,cds,2470,External Disk Drive,1,2024-11-01 01:17:26 UTC,
91391,dryer vent,3615,Duct cleaning brush,1,2024-09-03 02:47:55 UTC,
124089,stud finder,5251,Stud finder,1,2024-11-02 13:55:43 UTC,
81782,vinyl,4271,Digital cutting machine,2,2024-08-16 05:09:59 UTC,
105427,buffing,495,Orbital buffer,1,2024-09-17 03:52:07 UTC,
120685,burley,4462,Bike trailer,1,2024-10-22 11:29:40 UTC,45244
79313,drill hole,4834,Corded drill,1,2024-08-11 12:30:19 UTC,
89268,pot,2894,Instant pot duo plus - pressure cooker,1,2024-08-28 14:45:38 UTC,42773
78607,reciprocating saw,3393,Reciprocating saw,9,2024-08-09 19:41:07 UTC,41811
112307,belt sander,2275,Belt sander,6,2024-09-27 13:03:02 UTC,
90225,cricut,4271,Digital cutting machine,4,2024-08-30 15:54:57 UTC,
102048,hole saw,4067,Hole saw set,3,2024-09-11 23:22:48 UTC,
122907,steam cleaner,3824,Carpet and upholstery cleaner,1,2024-10-28 18:16:45 UTC,
116302,sleeping pad,4934,Sleeping pad,12,2024-10-10 14:01:31 UTC,44782
120070,angle grinder,4470,Angle grinder,7,2024-10-20 18:32:19 UTC,
83605,sander,3866,Oscillating multi-tool,3,2024-08-21 02:38:12 UTC,
123526,rake,3659,Bow rake,1,2024-10-31 02:08:27 UTC,45541
103615,camping,4926,Sleeping pad,70,2024-09-14 23:26:34 UTC,43643
102053,stud finder,5251,Stud finder,1,2024-09-11 23:25:42 UTC,43419
